ACXM,2016-08-16,25.33,25.34,25.07,25.15,470687.0,0.0,1.0,25.33,25.34,25.07,25.15,470687.0
ADBE,2016-08-16,100.52,100.97,99.91,100.6,1637974.0,0.0,1.0,100.52,100.97,99.91,100.6,1637974.0
ADC,2016-08-16,48.11,48.47,47.47,47.83,106570.0,0.0,1.0,48.11,48.47,47.47,47.83,106570.0
ADES,2016-08-16,6.9,6.95,6.5,6.61,45874.0,0.0,1.0,6.9,6.95,6.5,6.61,45874.0
ADI,2016-08-16,65.15,65.15,64.59,64.88,2461376.0,0.0,1.0,65.15,65.15,64.59,64.88,2461376.0
ADM,2016-08-16,43.55,43.76,43.4102,43.47,1616358.0,0.0,1.0,43.55,43.76,43.4102,43.47,1616358.0
ADMS,2016-08-16,14.19,14.25,13.89,14.01,134006.0,0.0,1.0,14.19,14.25,13.89,14.01,134006.0
ADNC,2015-06-30,4.94,4.94,4.85,4.89,242009.0,0.0,1.0,4.94,4.94,4.85,4.89,242009.0
ADP,2016-08-16,90.04,90.25,89.55,89.56,861443.0,0.0,1.0,90.04,90.25,89.55,89.56,861443.0
ADS,2016-08-16,213.71,215.62,210.42,211.85,547933.0,0.0,1.0,213.71,215.62,210.42,211.85,547933.0
ADSK,2016-08-16,62.91,63.2592,62.61,62.65,1486985.0,0.0,1.0,62.91,63.2592,62.61,62.65,1486985.0
ADT,2016-04-29,41.96,41.98,41.95,41.98,4103937.0,0.0,1.0,41.96,41.98,41.95,41.98,4103937.0
ADTN,2016-08-16,18.42,18.59,18.23,18.23,213214.0,0.0,1.0,18.42,18.59,18.23,18.23,213214.0
ADUS,2016-08-16,21.8,21.87,20.9637,21.52,52736.0,0.0,1.0,21.8,21.87,20.9637,21.52,52736.0
ADVS,2015-07-07,44.23,44.25,44.23,44.24,906990.0,0.0,1.0,44.23,44.25,44.23,44.24,906990.0
AE,2016-08-16,31.91,32.0017,31.28,31.75,2970.0,0.0,1.0,31.91,32.0017,31.28,31.75,2970.0
AEC,2015-08-06,28.74,28.75,28.73,28.75,1580683.0,0.0,1.0,28.74,28.75,28.73,28.75,1580683.0
AEE,2016-08-16,50.27,50.31,49.8,49.82,1725264.0,0.0,1.0,50.27,50.31,49.8,49.82,1725264.0
AEGN,2016-08-16,18.87,18.87,18.47,18.56,115815.0,0.0,1.0,18.87,18.87,18.47,18.56,115815.0
AEGR,2016-08-16,1.56,1.6,1.55,1.56,132000.0,0.0,1.0,1.56,1.6,1.55,1.56,132000.0
AEIS,2016-08-16,41.76,41.95,41.2342,41.56,176259.0,0.0,1.0,41.76,41.95,41.2342,41.56,176259.0
AEL,2016-08-16,16.05,16.35,15.97,16.18,480156.0,0.0,1.0,16.05,16.35,15.97,16.18,480156.0
AEO,2016-08-16,19.22,19.22,18.79,18.96,10124182.0,0.0,1.0,19.22,19.22,18.79,18.96,10124182.0
AEP,2016-08-16,66.36,66.44,65.68,65.68,2378283.0,0.0,1.0,66.36,66.44,65.68,65.68,2378283.0
AEPI,2016-08-16,78.49,79.31,76.125,76.28,23991.0,0.0,1.0,78.49,79.31,76.125,76.28,23991.0
AERI,2016-08-16,19.47,19.75,18.64,18.9,297173.0,0.0,1.0,19.47,19.75,18.64,18.9,297173.0
AES,2016-08-16,12.01,12.08,11.95,12.0,5907925.0,0.0,1.0,12.01,12.08,11.95,12.0,5907925.0
AET,2016-08-16,119.3,119.54,118.43,118.93,1017325.0,0.0,1.0,119.3,119.54,118.43,118.93,1017325.0
AF,2016-08-16,14.61,14.78,14.61,14.73,298783.0,0.0,1.0,14.61,14.78,14.61,14.73,298783.0
AFAM,2016-08-16,39.55,40.1,39.03,39.15,43984.0,0.0,1.0,39.55,40.1,39.03,39.15,43984.0
AFFX,2016-03-31,14.02,14.05,14.0,14.01,5030402.0,0.0,1.0,14.02,14.05,14.0,14.01,5030402.0
AFG,2016-08-16,73.82,74.41,73.59,73.61,259690.0,0.0,1.0,73.82,74.41,73.59,73.61,259690.0
AFH,2016-08-16,16.48,16.67,16.39,16.49,37995.0,0.0,1.0,16.48,16.67,16.39,16.49,37995.0
AFL,2016-08-16,72.63,72.647,72.195,72.2,1417696.0,0.0,1.0,72.63,72.647,72.195,72.2,1417696.0
AFOP,2016-06-06,18.51,18.51,18.48,18.51,658059.0,0.0,1.0,18.51,18.51,18.48,18.51,658059.0
AFSI,2016-08-16,26.0,26.13,25.77,25.93,498748.0,0.0,1.0,26.0,26.13,25.77,25.93,498748.0
AGCO,2016-08-16,47.76,47.87,47.43,47.6,458104.0,0.0,1.0,47.76,47.87,47.43,47.6,458104.0
AGEN,2016-08-16,6.03,6.13,5.94,5.95,1102079.0,0.0,1.0,6.03,6.13,5.94,5.95,1102079.0
AGII,2016-08-16,54.8,55.31,54.53,54.95,135746.0,0.0,1.0,54.8,55.31,54.53,54.95,135746.0
AGIO,2016-08-16,41.45,41.8,40.58,40.82,406611.0,0.0,1.0,41.45,41.8,40.58,40.82,406611.0
AGM,2016-08-16,40.22,40.5046,40.02,40.1,76320.0,0.0,1.0,40.22,40.5046,40.02,40.1,76320.0
AGN,2016-08-16,252.06,254.47,252.06,253.19,2535791.0,0.0,1.0,252.06,254.47,252.06,253.19,2535791.0
AGNC,2016-08-16,19.76,19.79,19.66,19.7,2057707.0,0.0,1.0,19.76,19.79,19.66,19.7,2057707.0
AGO,2016-08-16,27.27,27.51,27.27,27.46,562434.0,0.0,1.0,27.27,27.51,27.27,27.46,562434.0
AGTC,2016-08-16,15.23,15.47,15.1,15.23,43705.0,0.0,1.0,15.23,15.47,15.1,15.23,43705.0
AGX,2016-08-16,46.63,46.85,46.18,46.29,94296.0,0.0,1.0,46.63,46.85,46.18,46.29,94296.0
AGYS,2016-08-16,10.65,10.83,10.4,10.77,13318.0,0.0,1.0,10.65,10.83,10.4,10.77,13318.0
AHC,2016-08-16,5.73,5.87,5.7,5.87,39788.0,0.0,1.0,5.73,5.87,5.7,5.87,39788.0
AHH,2016-08-16,14.02,14.049,13.67,13.94,996960.0,0.0,1.0,14.02,14.049,13.67,13.94,996960.0
AHL,2016-08-16,45.38,45.61,45.01,45.09,213357.0,0.0,1.0,45.38,45.61,45.01,45.09,213357.0
AHP,2016-08-16,15.69,15.69,15.52,15.57,180190.0,0.0,1.0,15.69,15.69,15.52,15.57,180190.0
AHS,2016-08-16,35.24,35.48,34.31,34.35,757338.0,0.0,1.0,35.24,35.48,34.31,34.35,757338.0
AHT,2016-08-16,7.1,7.15,6.98,7.14,828778.0,0.0,1.0,7.1,7.15,6.98,7.14,828778.0
AI,2016-08-16,14.66,14.7,14.46,14.53,293915.0,0.0,1.0,14.66,14.7,14.46,14.53,293915.0
AIG,2016-08-16,58.98,59.565,58.75,59.31,3826314.0,0.0,1.0,58.98,59.565,58.75,59.31,3826314.0
AIMC,2016-08-16,28.85,28.97,28.51,28.73,87120.0,0.0,1.0,28.85,28.97,28.51,28.73,87120.0
AIN,2016-08-16,43.04,43.49,42.41,42.68,81643.0,0.0,1.0,43.04,43.49,42.41,42.68,81643.0
AINV,2016-08-16,5.99,6.09,5.97,6.04,1237682.0,0.0,1.0,5.99,6.09,5.97,6.04,1237682.0
AIQ,2016-08-16,6.24,6.24,6.18,6.19,2454.0,0.0,1.0,6.24,6.24,6.18,6.19,2454.0
AIR,2016-08-16,23.9,23.9,23.5,23.52,91896.0,0.0,1.0,23.9,23.9,23.5,23.52,91896.0
AIRM,2016-08-16,33.09,33.41,32.98,33.07,322601.0,0.0,1.0,33.09,33.41,32.98,33.07,322601.0
AIT,2016-08-16,45.72,45.97,45.59,45.84,123359.0,0.0,1.0,45.72,45.97,45.59,45.84,123359.0
AIV,2016-08-16,45.3,45.35,44.51,44.61,1115922.0,0.0,1.0,45.3,45.35,44.51,44.61,1115922.0
AIZ,2016-08-16,85.45,86.06,85.16,85.19,274003.0,0.0,1.0,85.45,86.06,85.16,85.19,274003.0
AJG,2016-08-16,49.15,49.46,48.76,48.77,2020892.0,0.0,1.0,49.15,49.46,48.76,48.77,2020892.0
AKAM,2016-08-16,52.07,52.63,52.0,52.0,1231354.0,0.0,1.0,52.07,52.63,52.0,52.0,1231354.0
AKAO,2016-08-16,3.76,3.95,3.76,3.86,65703.0,0.0,1.0,3.76,3.95,3.76,3.86,65703.0
AKBA,2016-08-16,8.03,8.11,7.9,8.0,97403.0,0.0,1.0,8.03,8.11,7.9,8.0,97403.0
AKR,2016-08-16,35.99,36.08,35.5,35.79,556061.0,0.0,1.0,35.99,36.08,35.5,35.79,556061.0
AKRX,2016-08-16,30.32,30.47,29.78,29.81,480510.0,0.0,1.0,30.32,30.47,29.78,29.81,480510.0
AKS,2016-08-16,5.45,5.48,5.21,5.22,10911066.0,0.0,1.0,5.45,5.48,5.21,5.22,10911066.0
AL,2016-08-16,27.78,27.81,27.4,27.44,986821.0,0.0,1.0,27.78,27.81,27.4,27.44,986821.0
ALB,2016-08-16,84.28,84.33,81.63,81.73,1064943.0,0.0,1.0,84.28,84.33,81.63,81.73,1064943.0
ALCO,2016-08-16,28.66,28.66,27.95,28.49,15056.0,0.0,1.0,28.66,28.66,27.95,28.49,15056.0
ALDR,2016-08-16,31.2,31.34,30.05,30.14,369437.0,0.0,1.0,31.2,31.34,30.05,30.14,369437.0
ALE,2016-08-16,60.08,60.08,59.22,59.42,297331.0,0.0,1.0,60.08,60.08,59.22,59.42,297331.0
ALEX,2016-08-16,41.51,41.51,41.04,41.08,91641.0,0.0,1.0,41.51,41.51,41.04,41.08,91641.0
ALG,2016-08-16,64.74,64.95,64.3,64.85,35041.0,0.0,1.0,64.74,64.95,64.3,64.85,35041.0
ALGN,2016-08-16,95.83,95.93,94.63,94.71,277442.0,0.0,1.0,95.83,95.93,94.63,94.71,277442.0
ALGT,2016-08-16,128.58,129.94,128.0,129.62,147263.0,0.0,1.0,128.58,129.94,128.0,129.62,147263.0
ALIM,2016-08-16,1.7,1.74,1.68,1.7,296489.0,0.0,1.0,1.7,1.74,1.68,1.7,296489.0
ALJ,2016-08-16,7.5,7.6,7.4,7.49,1526895.0,0.0,1.0,7.5,7.6,7.4,7.49,1526895.0
ALK,2016-08-16,65.69,66.4,65.36,66.0,819496.0,0.275,1.0,65.69,66.4,65.36,66.0,819496.0
ALKS,2016-08-16,47.89,48.019,46.67,46.765,508571.0,0.0,1.0,47.89,48.019,46.67,46.765,508571.0
ALL,2016-08-16,68.91,69.47,68.91,68.95,1434345.0,0.0,1.0,68.91,69.47,68.91,68.95,1434345.0
ALLE,2016-08-16,72.58,73.11,72.16,72.23,402045.0,0.0,1.0,72.58,73.11,72.16,72.23,402045.0
ALNY,2016-08-16,75.38,75.67,73.53,73.58,368437.0,0.0,1.0,75.38,75.67,73.53,73.58,368437.0
ALOG,2016-08-16,86.84,88.0,86.47,86.56,77624.0,0.0,1.0,86.84,88.0,86.47,86.56,77624.0
ALR,2016-08-16,39.89,40.44,39.67,40.41,460852.0,0.0,1.0,39.89,40.44,39.67,40.41,460852.0
ALSN,2016-08-16,28.57,28.58,28.26,28.27,705191.0,0.0,1.0,28.57,28.58,28.26,28.27,705191.0
ALTR,2015-12-24,53.94,53.97,53.94,53.96,3079334.0,0.0,1.0,53.94,53.97,53.94,53.96,3079334.0
ALX,2016-08-16,443.5,443.5,437.67,439.32,2192.0,0.0,1.0,443.5,443.5,437.67,439.32,2192.0
ALXN,2016-08-16,135.36,135.37,133.68,133.76,652643.0,0.0,1.0,135.36,135.37,133.68,133.76,652643.0
AMAG,2016-08-16,25.24,25.85,24.97,25.68,949986.0,0.0,1.0,25.24,25.85,24.97,25.68,949986.0
AMAT,2016-08-16,27.43,27.5224,27.21,27.22,6498319.0,0.0,1.0,27.43,27.5224,27.21,27.22,6498319.0
AMBA,2016-08-16,66.0,66.8999,64.71,65.85,976340.0,0.0,1.0,66.0,66.8999,64.71,65.85,976340.0
AMBC,2016-08-16,17.9,18.7545,17.8,18.04,242152.0,0.0,1.0,17.9,18.7545,17.8,18.04,242152.0
AMBR,2016-08-16,10.23,10.58,10.16,10.37,453975.0,0.0,1.0,10.23,10.58,10.16,10.37,453975.0
AMC,2016-08-16,29.53,29.85,29.5,29.75,240294.0,0.0,1.0,29.53,29.85,29.5,29.75,240294.0
AMCC,2016-08-16,7.11,7.14,6.91,7.07,623419.0,0.0,1.0,7.11,7.14,6.91,7.07,623419.0
AMCX,2016-08-16,56.59,57.31,56.2,56.93,750955.0,0.0,1.0,56.59,57.31,56.2,56.93,750955.0
AMD,2016-08-16,6.94,6.94,6.65,6.78,26711023.0,0.0,1.0,6.94,6.94,6.65,6.78,26711023.0
AME,2016-08-16,48.26,48.58,48.185,48.38,1259032.0,0.0,1.0,48.26,48.58,48.185,48.38,1259032.0
AMED,2016-08-16,49.31,49.56,48.38,48.5,222851.0,0.0,1.0,49.31,49.56,48.38,48.5,222851.0
AMG,2016-08-16,143.43,143.43,141.21,141.26,443680.0,0.0,1.0,143.43,143.43,141.21,141.26,443680.0
AMGN,2016-08-16,174.54,174.91,172.07,172.16,2600093.0,0.0,1.0,174.54,174.91,172.07,172.16,2600093.0
AMKR,2016-08-16,9.19,9.22,8.89,8.94,1780109.0,0.0,1.0,9.19,9.22,8.89,8.94,1780109.0
AMNB,2016-08-16,26.66,26.84,26.5,26.72,7480.0,0.0,1.0,26.66,26.84,26.5,26.72,7480.0
AMP,2016-08-16,96.62,97.01,96.03,96.54,542042.0,0.0,1.0,96.62,97.01,96.03,96.54,542042.0
AMPE,2016-08-16,0.9311,0.945,0.9112,0.9162,219578.0,0.0,1.0,0.9311,0.945,0.9112,0.9162,219578.0
AMRC,2016-08-16,4.89,4.93,4.76,4.83,45842.0,0.0,1.0,4.89,4.93,4.76,4.83,45842.0
AMRE,2015-02-18,26.58,26.58,26.53,26.54,116520.0,0.0,1.0,26.58,26.58,26.53,26.54,116520.0
AMRI,2016-08-16,15.03,15.225,14.83,15.01,236937.0,0.0,1.0,15.03,15.225,14.83,15.01,236937.0
AMRS,2016-08-16,0.38,0.45,0.38,0.4445,6937886.0,0.0,1.0,0.38,0.45,0.38,0.4445,6937886.0
AMSC,2016-08-16,6.83,6.99,6.76,6.87,63166.0,0.0,1.0,6.83,6.99,6.76,6.87,63166.0
AMSF,2016-08-16,58.35,58.91,58.35,58.52,126378.0,0.0,1.0,58.35,58.91,58.35,58.52,126378.0
AMSG,2016-08-16,66.16,66.23,64.24,64.25,911223.0,0.0,1.0,66.16,66.23,64.24,64.25,911223.0
AMSWA,2016-08-16,11.22,11.25,11.1,11.15,52186.0,0.0,1.0,11.22,11.25,11.1,11.15,52186.0
AMT,2016-08-16,115.2,115.53,113.87,114.12,1804005.0,0.0,1.0,115.2,115.53,113.87,114.12,1804005.0
AMTD,2016-08-16,31.06,31.34,30.9399,31.16,1499214.0,0.0,1.0,31.06,31.34,30.9399,31.16,1499214.0
AMTG,2016-08-16,13.64,13.69,13.62,13.64,77018.0,0.0,1.0,13.64,13.69,13.62,13.64,77018.0
AMWD,2016-08-16,75.18,75.77,74.18,74.29,92115.0,0.0,1.0,75.18,75.77,74.18,74.29,92115.0
AMZG,2015-05-11,0.1927,0.1927,0.1927,0.1927,507082.0,0.0,1.0,0.1927,0.1927,0.1927,0.1927,507082.0
AMZN,2016-08-16,768.62,768.7317,763.82,764.04,1581690.0,0.0,1.0,768.62,768.7317,763.82,764.04,1581690.0
AN,2016-08-16,49.15,49.41,48.42,48.87,1291157.0,0.0,1.0,49.15,49.41,48.42,48.87,1291157.0
ANAC,2016-06-24,99.2,99.2,99.2,99.2,300.0,0.0,1.0,99.2,99.2,99.2,99.2,300.0
ANAD,2016-03-15,0.847,0.8497,0.847,0.8491,2332182.0,0.0,1.0,0.847,0.8497,0.847,0.8491,2332182.0
ANAT,2016-08-16,113.99,115.39,113.606,114.0,14581.0,0.0,1.0,113.99,115.39,113.606,114.0,14581.0
ANCX,2016-08-16,21.91,22.07,21.79,21.81,6695.0,0.0,1.0,21.91,22.07,21.79,21.81,6695.0
ANDE,2016-08-16,36.31,36.31,35.77,35.83,101381.0,0.0,1.0,36.31,36.31,35.77,35.83,101381.0
ANF,2016-08-16,22.4,22.66,22.09,22.1,2001640.0,0.0,1.0,22.4,22.66,22.09,22.1,2001640.0
ANGI,2016-08-16,8.4,8.47,8.13,8.45,233457.0,0.0,1.0,8.4,8.47,8.13,8.45,233457.0
ANGO,2016-08-16,16.01,16.035,15.6,15.63,164151.0,0.0,1.0,16.01,16.035,15.6,15.63,164151.0
ANH,2016-08-16,5.0,5.0,4.91,4.91,492227.0,0.0,1.0,5.0,5.0,4.91,4.91,492227.0
ANIK,2016-08-16,49.32,49.77,49.26,49.33,102721.0,0.0,1.0,49.32,49.77,49.26,49.33,102721.0
ANIP,2016-08-16,69.47,70.07,68.36,69.29,131350.0,0.0,1.0,69.47,70.07,68.36,69.29,131350.0
ANN,2015-08-21,44.71,45.27,43.89,44.89,6963438.0,0.0,1.0,44.71,45.27,43.89,44.89,6963438.0
ANR,2015-07-16,0.2382,0.2382,0.2382,0.2382,192083.0,0.0,1.0,0.2382,0.2382,0.2382,0.2382,192083.0
ANSS,2016-08-16,97.37,97.44,96.67,96.72,354339.0,0.0,1.0,97.37,97.44,96.67,96.72,354339.0
ANTM,2016-08-16,129.18,129.82,128.16,129.33,1200318.0,0.0,1.0,129.18,129.82,128.16,129.33,1200318.0
ANV,2015-03-10,0.8882,,,0.8553,0.0,0.0,1.0,0.8882,,,0.8553,0.0
AOI,2016-08-16,17.62,18.26,17.62,18.08,39406.0,0.0,1.0,17.62,18.26,17.62,18.08,39406.0
